timestamp,app_name,minutes_away
2023-11-05 06:59:25,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 06:59:40,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 06:59:40,Environment Variables,0
2023-11-05 06:59:40,System Properties,0
2023-11-05 06:59:40,Run,0
2023-11-05 06:59:40,C:\Windows\system32\cmd.exe,0
2023-11-05 06:59:40,C:\Windows\system32\cmd.exe - gcc  -v,0
2023-11-05 06:59:55,C:\Windows\system32\cmd.exe - gcc  -v,0
2023-11-05 06:59:55,C:\Windows\system32\cmd.exe,0
2023-11-05 06:59:55,5-TopInvest_Excel_Para_o_Mercado_Financeiro_Gabriel_Ramos-004.mp4 - VLC media player,0
2023-11-05 06:59:55,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:00:11,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:00:11,5-TopInvest_Excel_Para_o_Mercado_Financeiro_Gabriel_Ramos-004.mp4 - VLC media player,0
2023-11-05 07:00:11,Visual Studio Code,0
2023-11-05 07:00:26,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:00:41,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:00:56,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:00:56,Aula1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:01:11,Aula1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:01:27,Aula1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:01:42,Aula1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:01:57,Aula1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:02:12,Aula1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:02:12,5-TopInvest_Excel_Para_o_Mercado_Financeiro_Gabriel_Ramos-004.mp4 - VLC media player,0
